,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
0,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,Con Calma,5w9c2J52mkdntKOmRLeM2m,2019-01-24,100,0.737,0.86
1,Dalex,0KPX4Ucy9dk82uj4GpKesn,Pa Mí - Remix,224EVTFiLsdQignUFLvDeH,2019-02-07,93,0.688,0.62
2,Neo Pistea,01m2XZ7m7rAz6KY3scTdaV,"Tumbando el Club (feat. C.R.O., Obiewanshot, Ysy A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix",0OWcpVA83HI8Pb5DybDuoX,2019-03-27,76,0.882,0.777
3,Anuel Aa,2R21vXR83lH98kGeO99Y66,Secreto,5W83ErFkO3aKAIS1WMi6u0,2019-01-15,96,0.807,0.803
4,Pedro Capó,4QVBYiagIaa6ZGSPMbybpy,Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,2018-10-05,96,0.826,0.773
5,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,Tal Vez,46lvmzK8wxAy66tjzXXSh0,2019-04-03,73,0.849,0.655
6,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,Adan y Eva,6FyRXC8tJUh863JCkyWqtk,2018-11-05,94,0.767,0.709
7,Maluma,1r4hJ1h58CWwUQe3MxPuau,HP,31UjYv5vLsDkzchJOtUMtW,2019-03-01,93,0.837,0.791
8,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,Desconocidos,0s5DNDV6LAKn2u2Ufa3VjQ,2018-10-12,93,0.709,0.771
9,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Baila Baila Baila,7uH27oIt4a6cIFCA8ZPcyG,2019-01-05,95,0.816,0.754
10,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Un Año,5BDP2tky8oMQJPS33frKVp,2019-01-18,91,0.771,0.382
11,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,Forever Alone,5NPzbTzFxIQPaheZuPhn4f,2019-02-13,85,0.864,0.426
12,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,Te Robaré,6v0lAdFF4haL8xjBIUjtOw,2019-03-22,87,0.673,0.752
13,Anuel Aa,2R21vXR83lH98kGeO99Y66,Amanece,1LiN0Z98FkR1t0m8KmLcAH,2018-12-14,91,0.79,0.631
14,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,Adictiva,6MJUCumnQsQEKbCy28tbCP,2018-11-09,90,0.788,0.771
15,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,Con Altura,2qG5sZ7Si6sdK74qLxedYM,2019-03-28,85,0.882,0.689
16,Duki,1bAftSH8umNcGZ0uyV7LMg,Sin Culpa (feat. DrefQuila),3dLiBBKbeUIhzGNeuo5JGS,2018-12-07,80,0.641,0.652
17,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,Te Vi,059bcIhyc2SBwm6sw2AZzd,2018-12-14,92,0.877,0.777
18,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,Reggaeton,2D3z17LBMJ2HEHeBFFjTLi,2018-11-17,89,0.747,0.74
19,DJ Luian,64aJYyrXljOodnUG6jvhRD,Verte Ir,4lzxJ4jCuFDXXGkE1LmpKR,2019-03-28,84,0.857,0.647
20,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Cristina,1Kjer1JoWuJGNwGV6Pbgv1,2019-03-22,82,0.649,0.502
