,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
0,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,Kill This Love,3VHrwffnUZFb7FidvPV3OA,2019-04-04,76,0.738,0.861
1,Alan Walker,7vk5e3vY1uw9plTHJAMwjN,On My Way,4n7jnSxVLd8QioibtTDBDq,2019-03-21,87,0.509,0.689
2,Alan Walker,7vk5e3vY1uw9plTHJAMwjN,Lily,0lks2Kt9veMOFEAPN0fsqN,2018-12-14,81,0.423,0.634
3,Andmesh,6IDsZZ4IHgs9VblBgQQSmt,Cinta Luar Biasa,1Hy1CBFRXYvFL7eJT5MLlG,2018-11-02,74,0.59,0.263
4,Yovie Widianto,7Ln5yumFjHCkeZ8bAzHUcp,Adu Rayu,3FcCAFQj4bLpfxo8gj1kk9,2019-02-22,72,0.558,0.374
5,Fiersa Besari,06QVnTCdjs4jPKO0487EGV,Waktu Yang Salah (feat. Thantri),25qm0qQzdRkWe96BKuaiHt,2014-05-15,74,0.665,0.276
6,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,7 rings,6ocbgoVGwYJhOv1GgI9NsF,2019-02-08,94,0.778,0.317
7,Halsey,26VFTg2z8YR0cCuwLzESi2,Without Me,5p7ujcrUXASCNwRaWNHR1C,2018-10-04,96,0.752,0.488
8,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,2019-02-08,94,0.717,0.653
9,JENNIE,250b0Wlc5Vk0CoUsaCY84M,SOLO,2wVDWtLKXunswWecARNILj,2018-11-12,79,0.751,0.642
10,SHAUN,72nLe76yBFSlP6VBzME358,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,1ZLrDPgR7mvuTco3rQK8Pk,2018-12-21,82,0.737,0.747
11,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,Love Someone,3id2EVGKc3eFAMn9nFnB0r,2018-10-26,77,0.538,0.409
12,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,Don't Know What To Do,1TaQciB8qqRZ9fxWGhS65X,2019-04-04,48,0.63,0.648
13,Juicy Luicy,3tMTXQyRrPmMyHv5SoC0TV,Tanpa Tergesa,66wRGrt1HmeVa1wtnWMj6C,2018-02-28,71,0.703,0.291
14,TheOvertunes,3t4MHnVggiFLOuSSh4odBk,Bicara (feat. Monita Tahalea),1Dxb9nWV16f5PthsUsV1XZ,2019-03-15,54,0.574,0.37
15,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bad guy,2Fxmhks0bxGSBdJ92vM42m,2019-03-29,95,0.708,0.418
16,Lauv,5JZ7CnR6gTvEMKX4g70Amv,i'm so tired...,7COXchtUOMd6uIT6HvmRaI,2019-01-24,95,0.599,0.733
17,John Mayer,0hEurMDQu99nJRq8pTxO14,New Light,40FLJc17FMZaPmCQEEZgB0,2018-06-29,31,0.828,0.689
18,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,Kick It,5R0cvR5BMFkLomChhmcCzr,2019-04-04,47,0.768,0.777
19,H.E.R.,3Y7RZ31TRPVadSFVy1o8os,Best Part (feat. Daniel Caesar),4OBZT9EnhYIV17t4pGw7ig,2017-10-20,84,0.473,0.371
20,Various Artists,0LyfQWJT6nXafLPZqxe9Of,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,2018-12-14,98,0.76,0.479
21,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,Hope Not,32107DdzIGbVs9Pi54MuRS,2019-04-04,46,0.422,0.422
22,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,2002,2BgEsaKNfHUdlh97KmvFyo,2018-04-27,86,0.697,0.683
23,Fiersa Besari,06QVnTCdjs4jPKO0487EGV,April,31DB7WsYqarEOUSQUzMLt8,2014-05-15,70,0.364,0.466
24,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Sucker,4y3OI86AEP6PQoDE6olYhO,2019-03-01,98,0.842,0.734
25,DJ Snake,540vIaP2JwjQb9dm3aArA4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,2018-09-28,94,0.841,0.798
26,ITZY,2KC9Qb60EaY0kW4eH68vr3,달라달라 (DALLA DALLA),0GU5GuJQQEnnREO2FxnVPT,2019-02-12,69,0.79,0.853
27,Alan Walker,7vk5e3vY1uw9plTHJAMwjN,Darkside,6SRWhUJcD2YKahCwHavz3X,2018-12-14,77,0.43,0.606
28,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Sweet but Psycho,25sgk305KZfyuqVBQIahim,2018-08-17,96,0.719,0.704
29,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Here With Me,5icOoE6VgqFKohjWWNp0Ac,2019-03-08,93,0.791,0.565
30,3 Composers,145zDAbvELoocgZ4bZrSXe,Bangun Cinta,1xRP7GwKppuawKo4CbiTl2,2018-04-13,69,0.689,0.35
31,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Who Do You Love (with 5 Seconds of Summer),11cDEev79fPKi6uJCjUhu8,2019-02-07,92,0.51,0.835
32,Jaz,78ED3zmePoZzEzeBUg0evm,Berdua Bersama (Milly & Mamet Original Motion Picture Soundtrack),37uQDKOul7QOmRFB6kiYyO,2018-11-16,69,0.578,0.529
33,The Panasdalam Bank,0sfi4c54RwQVfvfq6yz8fc,Berpisah (feat. Vanesha Prescilla),58jm1c4IKMFIFoj2Yi3WRB,2019-03-01,67,0.608,0.169
34,Sam Smith,2wY79sveU1sp5g7SokKOiI,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,2019-01-11,97,0.741,0.52
35,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,2019-02-08,98,0.726,0.554
36,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Kiss and Make Up,13hvHEstJ4sNbzdroPrPI3,2015,51,0.675,0.729
37,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Shallow,2VxeLyX666F8uXCJ0dZF8B,2018-10-05,96,0.572,0.385
38,Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,You Are The Reason,69vToJ9BMbbLlFZo7k7A7B,2018-03-09,83,0.331,0.235
39,Brisia Jodie,0GxxkBLH2uLa4b3URWudGb,Seandainya,6S6I7dacIYJUBvk3nyd9ba,2018-10-12,68,0.505,0.487
40,Jeremy Zucker,3gIRvgZssIb9aiirIg0nI3,comethru,18uwL0vNUanqZH0ro2QcOP,2018-09-28,84,0.794,0.188
41,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,DDU-DU DDU-DU - Remix,7tXQdx76iQVFeaBGDzXpZ2,2019-04-04,44,0.689,0.903
42,Sheila On 7,6q87vizIEdEN4NvlR6mjfT,Dan...,1MdjZzEInrmDBXf8zs0nKS,1999-07-14,68,0.658,0.539
43,Khalid,6LuN9FCkKOj5PcnpouEgny,Talk,6TqXcAFInzjp0bODyvrWEq,2019-04-05,69,0.901,0.4
44,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,wish you were gay,3Fj47GNK2kUF0uaEDgXLaD,2019-03-29,89,0.85,0.353
45,Dewa 19,48bKH1ugFBhERC1rdojP9d,Kangen,5LqanqJSmZwbwPtIi2RwTb,2014-12-03,67,0.618,0.776
46,Devano Danendra,5nWpcynsaMBFgtGmJODhdi,Menyimpan Rasa,7CofEo26wPOiCm6graGHux,2018-02-23,67,0.603,0.469
47,Hanin Dhiya,3Fw8q9sZ1t7diLxoQFS8hW,Suatu Saat Nanti,11nApQrr7tfBNYzBOmHWCc,2018-12-07,67,0.478,0.394
48,Arsy Widianto,7j5PGC0BF48rRtcmgbVvOT,Dengan Caraku,6zZMfagNj5Nr8rSdJ9KLqq,2018-06-01,67,0.647,0.318
49,TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,CROWN,32h6yQGn4oAhZ0HRsTMX26,2019-03-04,82,0.622,0.8
