,Artists Name,Artist ID,Track Name,Track ID,Release Date,Popularity,Danceability,Energy
0,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bad guy,2Fxmhks0bxGSBdJ92vM42m,2019-03-29,95,0.708,0.418
1,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,2018-11-08,92,0.501,0.405
2,Mabel,1MIVXf74SZHmTIp4V4paH4,Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,2019-01-18,94,0.674,0.881
3,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Sucker,4y3OI86AEP6PQoDE6olYhO,2019-03-01,98,0.842,0.734
4,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,2019-01-11,94,0.807,0.887
5,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,Just You and I,03x2rVJRFUrvwlfxoHd9Mo,2019-03-01,75,0.567,0.696
6,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,2019-02-08,98,0.726,0.554
7,Dave,6Ip8FS7vWT1uKkJSweANQK,Location (feat. Burna Boy),3z4CGd63tpUn9a6oQSG0CI,2019-03-08,80,0.812,0.496
8,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bury a friend,4SSnFejRGlZikf02HLewEF,2019-03-29,89,0.888,0.395
9,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Here With Me,5icOoE6VgqFKohjWWNp0Ac,2019-03-08,93,0.791,0.565
10,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Old Town Road,53CJANUxooaqGOtdsBTh7O,2019-03-14,93,0.908,0.517
11,MEDUZA,0xRXCcSX89eobfrshSVdyu,Piece Of Your Heart,5p1ex0pXv6jSPJ6QbumQpD,2019-02-01,77,0.677,0.744
12,Steel Banglez,6k970rXaWAWVfWMjqWtFNI,Fashion Week (feat. AJ Tracey & MoStack),78KyOmqWmqLkQcXO1cA7MO,2019-03-21,77,0.694,0.757
13,Post Malone,246dkjvS1zLTtiykXe5h60,Wow.,6MWtB6iiXyIwun0YzU6DFP,2018-12-24,98,0.833,0.539
14,Khalid,6LuN9FCkKOj5PcnpouEgny,Talk,6TqXcAFInzjp0bODyvrWEq,2019-04-05,69,0.901,0.4
15,Lauv,5JZ7CnR6gTvEMKX4g70Amv,i'm so tired...,7COXchtUOMd6uIT6HvmRaI,2019-01-24,95,0.599,0.733
16,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,wish you were gay,3Fj47GNK2kUF0uaEDgXLaD,2019-03-29,89,0.85,0.353
17,NSG,31Ua7zSTJxegjyd49ujbSA,Options,2cytBOLpwFRX7J9URCrFIe,2018-11-30,81,0.836,0.621
18,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Old Town Road - Remix,6u7jPi22kF8CTQ3rb9DHE7,2019-04-05,74,0.878,0.619
19,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,7 rings,6ocbgoVGwYJhOv1GgI9NsF,2019-02-08,94,0.778,0.317
20,Various Artists,0LyfQWJT6nXafLPZqxe9Of,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,2018-12-14,98,0.76,0.479
21,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Shallow,2VxeLyX666F8uXCJ0dZF8B,2018-10-05,96,0.572,0.385
22,JAY1,0BKx4UjPvXVGY15u0xFbbi,Your Mrs,4MKM1sU3d3aS23WJsYipdV,2019-03-27,72,0.852,0.668
23,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,when the party's over,43zdsphuZLzwA9k4DJhU0I,2019-03-29,88,0.454,0.111
24,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,So Am I,0uUNN1nSoUx1A4fkDCWDQ7,2019-03-07,88,0.684,0.677
25,Dave,6Ip8FS7vWT1uKkJSweANQK,Disaster (feat. J Hus),3rqmxZNh2BRgJ3BiCPFTSG,2019-03-08,79,0.727,0.761
26,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,MONOPOLY (with Victoria Monét),6tsOcBnaKgzK22yEiqRh8P,2019-04-01,84,0.892,0.507
27,Wiley,7k9T7lZlHjRAM1bb0r9Rm3,Boasty (feat. Idris Elba),7cz506PyIgh2bMN90Mc8Tn,2019-01-22,80,0.887,0.765
28,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Sweet but Psycho,25sgk305KZfyuqVBQIahim,2018-08-17,96,0.719,0.704
29,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,2018-12-21,93,0.581,0.662
30,Sigrid,4TrraAsitQKl821DQY42cZ,Don’t Feel Like Crying,1ABvDz0JnQGO8M8NYjRNMp,2019-03-08,70,0.749,0.814
31,YNW Melly,1cNDP5yjU5vjeR8qMf4grg,Murder On My Mind,7eBqSVxrzQZtK2mmgRG6lC,2018-08-03,94,0.759,0.73
32,P!nk,1KCSPY1glIKqW2TotWuXOR,Walk Me Home,7DHApOHsIFo7EyfieArYGE,2019-02-20,89,0.652,0.453
33,Khalid,6LuN9FCkKOj5PcnpouEgny,My Bad,2XKFnwB6djxrJCjR3PdeRb,2019-04-05,70,0.577,0.578
34,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,Shotgun,4ofwffwvvnbSkrMSCKQDaC,2018-03-23,87,0.672,0.735
35,Sam Smith,2wY79sveU1sp5g7SokKOiI,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,2019-01-11,97,0.741,0.52
36,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,my strange addiction,3Tc57t9l2O8FwQZtQOvPXK,2019-03-29,88,0.938,0.311
37,Russ splash,4CwqmHBrsCzKuBqlQKfYxZ,Keisha & Becky - Russ splash x Tion Wayne,0mFrbJniEwJcqzq3FQD14s,2019-03-21,73,0.875,0.443
38,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Happier,2dpaYNEQHiRxtZbfNsse99,2018-08-17,96,0.687,0.792
39,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,High Hopes,1rqqCSm0Qe4I9rUvWncaom,2018-06-22,94,0.579,0.904
40,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,you should see me in a crown,3XF5xLJHOQQRbWya6hBp7d,2019-03-29,87,0.672,0.552
41,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,all the good girls go to hell,6IRdLKIyS4p7XNiP8r6rsx,2019-03-29,89,0.741,0.447
42,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,xanny,4QIo4oxwzzafcBWkKjDpXY,2019-03-29,89,0.512,0.128
43,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,2018-11-16,94,0.652,0.557
44,Meek Mill,20sxb77xiYeusSH8cVdatc,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,2018-11-30,94,0.889,0.496
45,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,2019-02-08,94,0.717,0.653
46,Khalid,6LuN9FCkKOj5PcnpouEgny,Outta My Head (with John Mayer),09oZ9eXQ2fo6YDrPzJqAoP,2019-04-05,75,0.729,0.545
47,Khalid,6LuN9FCkKOj5PcnpouEgny,Better,6zeeWid2sgw4lap2jV61PZ,2018-10-18,87,0.596,0.552
48,Cadet,1Gm0kKaDx4GH6pQF88rjSK,Advice,1fp2uoWXPca3mIdxRHIgQm,2018-09-14,77,0.911,0.529
49,Dave,6Ip8FS7vWT1uKkJSweANQK,Streatham,59PUOc7B0WCNNx8Nr4qaA4,2019-03-08,77,0.892,0.621
